supplier_id,sku,ean,upc,isbn,gtin,name,slug,short_description,description,brand_id,category_id,cost_price,base_price,base_price_tax,special_price,special_price_start,special_price_end,discount_type,discount_value,stock_qty,manage_stock,type,visibility,weight,width,height,length,meta_title,meta_description,meta_keywords,is_featured,is_new,tax_class_id,status,created_at,updated_at,deleted_at
,NK-BR26,,,,,Gel de M?os Cremoso Branco,gel-de-maos-cremoso-branco,Produto profissional indicado para gel de m?os cremoso branco.,"Gel de M?os Cremoso Branco Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,1,,1.08,1.4,,,,,,0,0,simple,both,,,,,,,,0,0,1,active,,,
,NK-BR27,,,,,Gel de M?os Frutos Vermelhos,gel-de-maos-frutos-vermelhos,Produto profissional indicado para gel de m?os frutos vermelhos.,"Gel de M?os Frutos Vermelhos Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,1,,1.08,1.4,,,,,,0,1,simple,both,,,,,,,,0,1,1,active,,,
,DM-209T,,,,,Gel de M?os Hidratante Tutti Fruti,gel-de-maos-hidratante-tutti-fruti,Produto profissional indicado para gel de m?os hidratante tutti fruti.,"Gel de M?os Hidratante Tutti Fruti Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,1,,1.46,1.9,,,,,,0,2,simple,both,,,,,,,,0,1,1,active,,,
,DM-210/5,,,,,DERMOLUX - Gel de Banho DERMOPROTETOR,dermolux---gel-de-banho-dermoprotetor,Produto profissional indicado para dermolux - gel de banho dermoprotetor.,"DERMOLUX - Gel de Banho DERMOPROTETOR Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,1.52,1.98,,,,,,0,3,simple,both,,,,,,,,1,0,1,active,,,
,DM-215/5,,,,,D-270 Lava Loiáa M†quina,d-270-lava-loica-maquina,Produto profissional indicado para d-270 lava loiáa m†quina.,"D-270 Lava Loiáa M†quina Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,2,,1.51,1.96,,,,,,0,4,simple,both,,,,,,,,0,0,1,active,,,
,DM-216/5,,,,,D-260 Secante Abrilhantador,d-260-secante-abrilhantador,Produto profissional indicado para d-260 secante abrilhantador.,"D-260 Secante Abrilhantador Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,2.12,2.75,,,,,,0,5,simple,both,,,,,,,,0,1,1,active,,,
,DM-211,,,,,D-230 Detergente Loiáa Manual Ultra Concentrado,d-230-detergente-loica-manual-ultra-concentrado,Produto profissional indicado para d-230 detergente loiáa manual ultra concentrado.,"D-230 Detergente Loiáa Manual Ultra Concentrado Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,2,,1.73,2.25,,,,,,0,6,simple,both,,,,,,,,0,0,1,active,,,
,DM-211/1,,,,,D-230 Detergente Loiáa Manual Ultra Concentrado C/DOSEADOR,d-230-detergente-loica-manual-ultra-concentrado-cdoseador,Produto profissional indicado para d-230 detergente loiáa manual ultra concentrado c/doseador.,"D-230 Detergente Loiáa Manual Ultra Concentrado C/DOSEADOR Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,2,,4.43,5.75,,,,,,0,7,simple,both,,,,,,,,0,1,1,active,,,
,NK-BR51,,,,,DISHCLEAN - Det. Loiáa Manual Verde,dishclean---det-loica-manual-verde,Produto profissional indicado para dishclean - det. loiáa manual verde.,"DISHCLEAN - Det. Loiáa Manual Verde Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,2,,1.00,1.3,,,,,,0,8,simple,both,,,,,,,,0,1,1,active,,,
,NK-BR35,,,,,DISHCLEAN STRONG - Lava Loiáa M†quina,dishclean-strong---lava-loica-maquina,Produto profissional indicado para dishclean strong - lava loiáa m†quina.,"DISHCLEAN STRONG - Lava Loiáa M†quina Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,2,,1.53,1.99,,,,,,0,9,simple,both,,,,,,,,0,0,1,active,,,
,DM-217/5,,,,,Descalcificador de M†quinas de Loiáa,descalcificador-de-maquinas-de-loica,Produto profissional indicado para descalcificador de m†quinas de loiáa.,"Descalcificador de M†quinas de Loiáa Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,2,,3.81,4.95,,,,,,0,10,simple,both,,,,,,,,1,0,1,active,,,
